Ano,Mes,Linha_1,Linha_2,Linha_3,Linha_4,Linha_5,Linha_6,Linha_7,Linha_8,Linha_9,Linha_10,Linha_11,Linha_12,Linha_13,Linha_14,Linha_15,Linha_16,Linha_17,Linha_18,Linha_19,Linha_20,Linha_21,Linha_22,Linha_23,Linha_24,Linha_25,Linha_26,Linha_27,Linha_28,Linha_29,Linha_30,Linha_31,Linha_32,Linha_33,Linha_34,Linha_35,Linha_36,Linha_37,Linha_38,Linha_39,Linha_40,Linha_41,Linha_42,Linha_43,Linha_44,Linha_45,Linha_46,Linha_47,Linha_48,Linha_49,Linha_50,Linha_51,Linha_52,Linha_53,Linha_54,Linha_55,Linha_56,Linha_57,Linha_58,Linha_59,Linha_60,Linha_61,Linha_62,Linha_63,Linha_64,Linha_65,Linha_66,Linha_67,Linha_68,Linha_69,Linha_70,Linha_71,Linha_72,Linha_73,Linha_74,Linha_75,Linha_76,Linha_77,Linha_78,Linha_79,Linha_80,Linha_81,Linha_82,Linha_83,Linha_84,Linha_85,Linha_86,Linha_87,Linha_88,Linha_89,Linha_90,Linha_91,Linha_92
2012,Agosto,0,4,3,4,9,3,7,12,9,16,11,4,5,6,2,5,2,5,2,6,1,4,7,8,4,4,6,3,1,1,5,3,1,2,5,6,2,5,6,4,3,2,4,5,2,1,1,5,5,5,2,2,4,3,3,2,4,4,2,0,9,7,7,6,6,9,4,4,4,2,3,9,8,2,1,7,5,9,2,7,8,4,1,7,9,1,5,2,6,4,3,6
2012,Setembro,1,8,4,12,4,7,8,3,6,7,12,8,9,4,8,6,2,4,1,3,3,2,2,2,4,3,5,3,6,3,1,4,6,5,5,5,3,3,6,7,7,3,3,2,5,4,4,6,4,2,7,0,6,3,5,3,4,2,2,0,3,4,3,1,7,4,2,3,6,0,5,6,5,3,6,3,4,6,4,5,5,2,3,5,2,2,4,2,5,2,1,9
2012,Outubro,1,13,11,21,16,19,19,21,29,26,27,14,13,10,13,10,18,6,10,8,2,6,10,9,4,7,6,8,7,5,8,10,11,10,10,1,7,11,15,12,9,9,9,13,5,11,11,11,16,6,20,14,13,10,5,14,11,10,8,2,13,8,17,14,8,22,13,11,15,12,14,12,9,14,13,18,10,7,6,13,11,9,7,18,5,10,10,10,10,10,10,18
2012,Novembro,0,4,5,17,10,8,7,12,12,22,13,10,4,4,3,8,5,7,7,3,0,5,5,5,7,8,5,5,5,7,5,5,2,4,3,7,4,6,8,8,12,5,6,3,4,8,6,6,8,4,10,8,3,7,9,11,6,6,5,0,7,7,10,8,6,11,4,3,8,6,11,6,9,9,11,14,10,5,7,7,2,6,6,6,2,5,5,3,8,5,5,10
2012,Dezembro,0,20,21,33,35,16,16,27,25,33,40,26,18,9,12,22,17,14,13,13,6,12,11,20,14,12,15,11,13,17,11,13,16,20,15,10,15,8,19,15,14,14,14,10,7,13,14,17,22,10,19,14,20,17,17,20,11,19,9,3,20,15,20,22,19,30,19,18,14,13,24,17,15,27,15,33,15,14,11,16,18,16,16,22,14,16,14,11,11,20,18,21
2013,Janeiro,0,13,9,16,18,7,5,15,10,17,24,15,11,8,3,6,3,5,10,8,5,4,6,8,6,12,11,11,9,8,6,9,6,9,5,8,7,10,15,14,9,6,11,7,6,9,5,10,9,6,8,8,9,11,11,8,12,6,9,3,7,10,12,8,10,22,11,10,8,5,9,14,7,10,9,20,6,12,3,16,12,13,6,12,9,5,8,10,5,7,7,1
2013,Fevereiro,1,12,17,19,15,17,13,18,24,20,34,24,12,4,5,9,10,14,9,12,7,14,9,6,8,5,10,8,7,9,6,6,11,12,9,12,4,7,12,10,7,15,5,9,8,6,9,16,10,4,15,8,11,9,9,10,12,10,9,2,14,12,11,13,16,22,17,12,12,9,14,8,5,11,13,21,11,10,6,14,17,11,8,21,14,8,6,11,12,12,9,23
2013,Março,0,4,4,4,9,4,2,8,5,8,9,3,7,4,3,6,3,4,2,2,2,4,3,5,1,2,3,1,3,6,2,3,2,3,3,2,3,3,7,3,0,2,3,2,4,0,3,3,2,4,3,1,2,2,2,5,1,5,1,1,5,5,3,1,7,9,4,1,1,0,5,5,2,7,2,4,4,4,2,5,5,3,6,7,5,1,1,3,3,2,3,1
2013,Abril,0,3,4,9,5,5,5,8,3,5,3,1,2,1,3,2,1,5,4,4,5,2,1,1,3,1,3,3,4,1,3,3,7,3,0,4,0,3,2,8,5,2,2,4,4,2,1,3,3,3,4,2,1,2,4,1,3,4,4,1,1,4,4,5,3,6,2,1,5,3,4,0,7,2,2,6,3,5,1,8,3,1,3,1,2,6,2,1,0,4,2,2
2013,Maio,1,6,4,6,10,2,3,6,6,6,6,0,6,2,6,3,3,1,7,5,3,4,1,3,1,0,1,5,3,4,3,4,1,8,0,7,4,1,0,5,1,4,3,2,2,3,3,6,3,4,5,3,1,4,3,7,2,1,7,0,1,0,7,2,4,3,3,9,2,3,7,5,4,4,4,10,5,3,4,4,2,1,4,4,5,2,2,0,4,3,5,2
